Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
decision_tree,0.9941747572815534,0.9934469200524246,0.9942613543203804,0.9938539703351635,0.9991959822511403
random_forest,0.9969708737864078,0.9978639500492935,0.9957370060665683,0.9967993434550677,0.9999695597222762
