Split,Accuracy,Precision,Recall,F1-score,ROC-AUC
Training,0.9965775868346319,0.9970241149307337,0.9957468613886754,0.9963850788360467,0.9999582147089044
Validation,0.9955339805825243,0.9975293390982087,0.9930313588850174,0.9952752670501233,0.9998407693823813
Testing,0.9941747572815534,0.9934469200524246,0.9942613543203804,0.9938539703351635,0.9991959822511403
